confA,confB,infAB,infBA
ecai,icdar,0.0274262541378266,2.25841604433601e-226
ecai,icml,0.0762905780711,0.187597520002654
ecai,icpr,7.64438753304537e-05,0.123816187859596
ecai,icra,0.0269412706811286,0.258836755275217
ecai,ictai,0.0937068448237133,0.0328778296640231
ecai,ijcai,0.255161828625206,0.000124061846182618
ecai,ijcnn,0,0.848944442852982
ecai,ilp,0.103848845366012,0.277709262795474
ecai,kr,0.105985700132594,0.0037651551598102
ecai,ml,0.278422722158699,0.118892964035245
ecai,naacl,0.250751589943481,0.419583541411937
ecai,nips,0.0505934808703893,0.00149122409520807
ecai,pricai,0.173196431842314,0.309418744596466
ecai,uai,0.386227085815537,0.0331266219189865
eccv,emnlp,0.0590765310644815,1.58039830660617e-06
eccv,gecco,0.700272859009252,4.16276178543042e-18
eccv,icann,0.0772817066130084,0.00839054954999533
eccv,icb,9.67914521844777e-14,2.10779334157864e-06
eccv,iccv,0.00943237281783337,0.000364239912118525
eccv,icdar,4.27692451282213e-81,2.37871282803743e-07
eccv,icml,0.00135206351986398,0.0110706104038228
eccv,iconip,0.44964435454804,0.0246761988252661
eccv,icpr,0.00133319570874927,5.36140694982271e-07
eccv,icra,0.000328679969724301,0.0047088488405359
eccv,ictai,0.133303312978333,8.46929919564121e-05
eccv,ijcai,1.02500888018188e-18,1.49705171563542e-94
eccv,ilp,0.836836496093119,0.836836496093119
eccv,ml,5.52559635851112e-07,7.26522936163335e-05
eccv,naacl,0.355593558332791,0.816001892411059
eccv,nips,0.000174531474809005,0.0129701368496752
eccv,pricai,0.51034571155931,0.950741232349232
eccv,uai,0.00231070457372885,0.0208749921748968
emnlp,icann,0.634507419060491,0.593325441682909
emnlp,icb,1,1
emnlp,iccbr,0.131665317106543,0.540457690097706
emnlp,iccv,3.46767037173847e-05,0.218489252020773
emnlp,icdar,0.0223104108684643,0.315785264386402
emnlp,icml,0.0545976927303561,0.0871541836727611
emnlp,iconip,0.578981715606028,0.0117793419796256
emnlp,icpr,0.722194727613669,9.19570657561621e-31
emnlp,icra,0.64754620887861,0.00559035690782498
emnlp,ictai,0.0231200180438152,0.623737494863695
emnlp,ijcai,0.332791591628559,0.382955229780952
emnlp,ilp,3.01959600069853e-123,0.57811238947652
emnlp,ml,0.00694811762013864,0.488704445194372
emnlp,naacl,0.475274012134691,0.00242177859902123
emnlp,nips,0.000639544984149672,0.001094993069918
emnlp,uai,0.42930968465552,0.789466081937395
gecco,icann,1.21422165436949e-119,1.46657480414032e-05
gecco,icb,0.0147475633169206,0
gecco,iccbr,0.726708277366831,0.0708856602371237
gecco,icml,0.445277387756459,5.93797713988349e-103
gecco,iconip,0.00670277939704604,2.08928257104262e-77
gecco,icpr,2.17853595414779e-25,4.43287962195204e-21
gecco,icra,2.22757530891325e-11,1.82036076594794e-12
gecco,ictai,7.40867309769209e-31,0.681313457549492
gecco,ijcai,2.6890609966424e-05,4.43004019128828e-34
gecco,ijcnn,0.000279884075886355,7.03301465840218e-150
gecco,ilp,0.000599927723704605,0.716598230041331
gecco,ml,0.223794983535953,8.51037765737003e-134
gecco,nips,0.132734346062144,0.517916373478877
gecco,pricai,0.00254562462113817,0.0613887539303526
gecco,uai,0.924709328536847,0.498697377610294
icann,icb,0.000261416561275556,0.218139203619151
icann,iccv,0.27636423402456,0.149739534483709
icann,icdar,0.282010325822332,0.401236032629763
icann,icml,0.0535567806139689,0.125824218544963
icann,iconip,0.00490780630135688,0.0041533717033015
icann,icpr,0.351449938432449,0.00993882982720511
icann,icra,0.00688691248200001,0.116534522266917
icann,ictai,0.0803292375622705,0.165064339638928
icann,ijcai,0.00636898803618487,0.428743804053821
icann,ijcnn,4.15640269002045e-09,0.00096805267710467
icann,ml,0.0482033955551447,0.0594566918151376
icann,naacl,5.59647454711947e-06,1.22227715230215e-42
icann,nips,0.1646509529069,0.116861589167363
icann,pricai,0.00115181681075137,0.000814876662057961
icann,pris,0.00496643401801852,0.558890903195311
icann,uai,0.12388233380552,5.76914242306434e-30
icaps,iccbr,0.663120888932851,0.626347278587642
icaps,icml,0.597353749822902,0.447722121783611
icaps,icra,0.54347999212475,0.0540029767312249
icaps,ictai,0.700214393072984,0.70243575933921
icaps,ijcai,0.205493868743884,0.011607369821815
icaps,kr,0.618665477268404,0.100512240228237
icaps,ml,0.204292286839148,8.21734098559622e-46
icaps,nips,0.462143917688518,0.295724794650785
icaps,pricai,0.687443591022331,0.0054622064451076
icb,iccv,0.00306227308684619,9.16200467637983e-27
icb,icdar,0.00258816267280211,2.56606248166852e-214
icb,icpr,0.000150743912103072,3.54690532375502e-08
icb,icra,0.628573269942454,8.9085309548369e-64
icb,nips,0.0225482846511515,6.01238807934269e-244
iccbr,icdar,0.018511293657607,5.32879697631701e-169
iccbr,icml,0.407225610698112,0.285705868767825
iccbr,iconip,7.26335253255553e-121,0.00322947045835452
iccbr,icpr,0.206477085312498,0.0185358567745116
iccbr,icra,1,1
iccbr,ictai,5.18904918172676e-31,0.0972060112530173
iccbr,ijcai,0.146569327989206,0.45378389702241
iccbr,ilp,0.00614612164957282,6.72817761650583e-122
iccbr,kr,0.039459503925061,0.00370537142084723
iccbr,ml,0.0524560612944581,0.00612200689112102
iccbr,nips,0.303464821535335,0.0229278915783638
iccbr,pricai,8.42064279459677e-05,0.51890773496901
iccv,icdar,0.000428469149642929,0.0013332873419391
iccv,icml,0.00497828084528273,0.00263531039369685
iccv,iconip,0.00117374037019818,0.00911189332613466
iccv,icpr,0.315775938565944,0.153303695891709
iccv,icra,0.0119339395683528,0.403473978289812
iccv,ictai,8.41230056840604e-06,0.317503867415446
iccv,ijcai,0.0135071446895646,0.371254419341956
iccv,ijcnn,0.865772476778307,0.791916017874696
iccv,ilp,0.836836496093119,0.836836496093119
iccv,ml,4.1509388993287e-05,0.0026826404479302
iccv,naacl,0.0133724450446428,5.57370659314994e-135
iccv,nips,0.002915033357783,0.071675108633758
iccv,uai,0.00704771630295268,0.000483183049041507
icdar,icml,0.223831428624481,0.553472209151128
icdar,iconip,0.574448487065352,0.0183972153221289
icdar,icpr,0.000468868002695428,0.0041179937610737
icdar,icra,0.822720653162566,0.801433361822166
icdar,ictai,0.686042688864047,0.0579316452150916
icdar,ijcai,0.202945924261944,0.0724454669314303
icdar,ijcnn,8.39911597930119e-323,0.836836496093119
icdar,ilp,0.836836496093119,0
icdar,ml,0.0663533648732938,0.059346524418768
icdar,naacl,0.147690727775401,0.0416063148191577
icdar,nips,0.000241110312136947,2.25187324722078e-05
icdar,pricai,0.487095690989366,0.032203446596974
icdar,pris,0.195188750565891,0.0619159894095073
icml,iconip,0.00860016123486632,0.000153542262012702
icml,icpr,4.90727228716341e-06,0.000343790171179936
icml,icra,0.730493633289399,0.1341007019024
icml,ictai,0.0536757911560412,0.0245822069672688
icml,ijcai,0.557493184001359,0.075341415037659
icml,ijcnn,0.725815983747357,3.60181487220939e-08
icml,ilp,0.109346803414445,0.414297151470118
icml,kr,0.0584073727671674,0.193507655751953
icml,ml,0.0931514798296686,0.0290052975745632
icml,naacl,0.0104913973891062,0.000203944279368538
icml,nips,2.99239497240531e-05,0.140108844771311
icml,pricai,0.021009961020971,0.0668957086007779
icml,pris,0.0774463994715545,0.329995397028881
icml,uai,0.215313327165138,0.00968432765148293
iconip,icpr,6.70154016695237e-06,0.0802017502482284
iconip,icra,0.538144785316126,0.593261294902521
